<b>Absurd</b><br/><small>ridiculous, senseless, foolish</small>
<b>Fake</b><br/><small>unreal, counterfeit, deceptive</small>
<b>Fancy</b><br/><small>showy, ornate, decorated</small>
<b>Fantastic</b><br/><small>awesome, outrageous, imaginary</small>
<b>Feminine</b><br/><small>womanly, ladylike, unmanly</small>
<b>Filthy</b><br/><small>dirty, foul, unclean</small>
<b>Flirtatious</b><br/><small>brazen, saucy, forward</small>
<b>Foreign</b><br/><small>alien, unfamiliar, exotic</small>
<b>Fragrant</b><br/><small>aromatic, odorous, perfumed</small>
<b>Frazzled</b><br/><small>exhausted, frayed, worn</small>
<b>Fresh</b><br/><small>new, original, good</small>
<b>Friendly</b><br/><small>affectionate, comforting, welcoming</small>
<b>Frightening</b><br/><small>scary, horrifying, awesome</small>
<b>Frivolous</b><br/><small>trivial, silly, shallow</small>
<b>Funky</b><br/><small>groovy, psychedelic, hip</small>
<b>Funny</b><br/><small>amusing, comic, odd</small>
<b>Furious</b><br/><small>angry, raging, wild</small>
<b>Fuzzy</b><br/><small>downy, unclear, furry</small>
<b>Glamorous</b><br/><small>beautiful, dazzling, stylish</small>
<b>Glitzy</b><br/><small>flashy, showy, gaudy</small>
<b>Global</b><br/><small>world-wide, spherical, universal</small>
<b>Glorious</b><br/><small>magnificent, delightful, splendid</small>
<b>Goody-Goody</b><br/><small>sweet, well-behaved, virtuous</small>
<b>Graceful</b><br/><small>elegant, supple, limber</small>
<b>Handsome</b><br/><small>attractive, elegant, fine</small>
<b>Hardworking</b><br/><small>industrious, diligent, busy</small>
<b>Harmful</b><br/><small>hurtful, unhealthy, damaging</small>
<b>Haunting</b><br/><small>unforgettable, bewitching, unearthly</small>
<b>Healthy</b><br/><small>hearty, robust, wholesome</small>
<b>Heartless</b><br/><small>insensitive, cruel, uncaring</small>
<b>Hilarious</b><br/><small>funny, witty, amusing</small>
<b>Honorable</b><br/><small>honest, just, virtuous</small>
<b>Hopeless</b><br/><small>pessimistic, desperate, downhearted</small>
<b>Horrifying</b><br/><small>offensive, abominable, disgusting</small>
<b>Hostile</b><br/><small>antagonistic, aggressive, warlike</small>
<b>Hot</b><br/><small>blazing, heated, spicy</small>
<b>Idiotic</b><br/><small>foolish, dumb, moronic</small>
<b>Important</b><br/><small>significant, substantial, momentous</small>
<b>Industrious</b><br/><small>diligent, busy, hard-working</small>
<b>Influential</b><br/><small>powerful, prominent, important</small>
<b>Innocent</b><br/><small>guiltless, pure, naive</small>
<b>Insane</b><br/><small>psychotic, deranged, mad</small>
<b>Inspirational</b><br/><small>exhilarating, inspiring, stimulating</small>
<b>Insulting</b><br/><small>offending, discourteous, rude</small>
<b>Intelligent</b><br/><small>bright, smart, brainy</small>
<b>Intense</b><br/><small>extreme, passionate, strained</small>
<b>Irresistible</b><br/><small>overpowering, overwhelming, compelling</small>
<b>Irritating</b><br/><small>annoying, troublesome, provoking</small>
<b>Juicy</b><br/><small>drippy, luscious, tantalizing</small>
<b>Lazy</b><br/><small>lifeless, apathetic, weary</small>
<b>Legendary</b><br/><small>famous, distinctive, prominent</small>
<b>Loud</b><br/><small>noisy, boisterous, deafening</small>
<b>Lovable</b><br/><small>adorable, endearing, cuddly</small>
<b>Lucky</b><br/><small>fortunate, serendipitous, favored</small>
<b>Luscious</b><br/><small>delicious, savory, juicy</small>
<b>Luxurious</b><br/><small>opulent, lavish, sumptuous</small>
<b>Magical</b><br/><small>enchanting, miraculous, marvelous</small>
<b>Manly</b><br/><small>masculine, virile, strong</small>
<b>Masculine</b><br/><small>male, manly, virile</small>
<b>Meek</b><br/><small>shy, mild, timid</small>
<b>Melodramatic</b><br/><small>theatrical, sensational, showy</small>
<b>Mischievous</b><br/><small>naughty, prankish, sly</small>
<b>Miserable</b><br/><small>wretched, pitiful, forlorn</small>
<b>Misunderstood</b><br/><small>not grasped, not learned, not absorbed</small>
<b>Mysterious</b><br/><small>secretive, puzzling, strange</small>
<b>Mystical</b><br/><small>spiritual, secretive, esoteric</small>
<b>Naive</b><br/><small>unsophisticated, childlike, simple</small>
<b>Nasty</b><br/><small>mean, inclement, offensive</small>
<b>Natural</b><br/><small>pure, simple, unadorned</small>
<b>Neat</b><br/><small>tidy, orderly, cool</small>
<b>Neglected</b><br/><small>ignored, disregarded, rejected</small>
<b>Nerdy</b><br/><small>unhip, uncool, dorky</small>
<b>Normal</b><br/><small>usual, common, ordinary</small>
<b>Obnoxious</b><br/><small>offensive, repulsive, annoying</small>
<b>Odd</b><br/><small>different, eccentric, bizarre</small>
<b>Offensive</b><br/><small>insulting, vulgar, attacking</small>
<b>Ordinary</b><br/><small>usual, common, plain</small>
<b>Organic</b><br/><small>natural, clean, biological</small>
<b>Outrageous</b><br/><small>shocking, scandalous, disgraceful</small>
<b>Overwhelming</b><br/><small>exhaustive, breathtaking, monumental</small>
<b>Painful</b><br/><small>hurtful, agonizing, unbearable</small>
<b>Pathetic</b><br/><small>pitiful, distressing, heart-rending</small>
<b>Patriotic</b><br/><small>nationalistic, loyal, public-spirited</small>
<b>Peaceful</b><br/><small>serene, restful, calm</small>
<b>Perfect</b><br/><small>faultless, consummate, exact</small>
<b>Philosophical</b><br/><small>thoughtful, contemplative, wise</small>
<b>Phony</b><br/><small>false, artificial, imitation</small>
<b>Playful</b><br/><small>fun, frisky, entertaining</small>
<b>Popular</b><br/><small>well-liked, accepted, preferred</small>
<b>Powerful</b><br/><small>strong, forceful, robust</small>
<b>Primitive</b><br/><small>prehistoric, primal, uncivilized</small>
<b>Principled</b><br/><small>conscientious, ethical, scrupulous</small>
<b>Profound</b><br/><small>deep, wise, thoughtful</small>
<b>Puffy</b><br/><small>swollen, billowy, bloated</small>
<b>Pure</b><br/><small>innocent, unadulterated, chaste</small>
<b>Quiet</b><br/><small>peaceful, silent, calm</small>
<b>Radiant</b><br/><small>shining, glowing, sparkling</small>
<b>Radical</b><br/><small>unconventional, revolutionary, extreme</small>
<b>Rare</b><br/><small>scarce, unusual, half-cooked</small>
<b>Realistic</b><br/><small>authentic, lifelike, reasonable</small>
<b>Refined</b><br/><small>well-bred, purified, cultivated</small>
<b>Refreshing</b><br/><small>brisk, invigorating, rejuvenating</small>
<b>Relaxing</b><br/><small>restful, calming, peaceful</small>
<b>Repulsive</b><br/><small>disgusting, offensive, foul</small>
<b>Responsible</b><br/><small>accountable, obligated, mature</small>
<b>Revolutionary</b><br/><small>innovative, rebellious, radical</small>
<b>Rich</b><br/><small>wealthy, affluent, moneyed</small>
<b>Ridiculous</b><br/><small>preposterous, absurd, ludicrous</small>
<b>Risky</b><br/><small>hazardous, daring, speculative</small>
<b>Rough</b><br/><small>scratchy, uneven, jagged</small>
<b>Saintly</b><br/><small>virtuous, angelic, divine</small>
<b>Sappy</b><br/><small>gooey, mushy, romantic</small>
<b>Scary</b><br/><small>frightening, absurd, ugly</small>
<b>Scenic</b><br/><small>picturesque, dramatic, panoramic</small>
<b>Selfish</b><br/><small>stingy, greedy, miserly</small>
<b>Senseless</b><br/><small>meaningless, absurd, foolish</small>
<b>Sensitive</b><br/><small>susceptible, sympathetic, tender</small>
<b>Sensual</b><br/><small>tactile, pleasing, sexual</small>
<b>Sexy</b><br/><small>arousing, appealing, seductive</small>
<b>Shallow</b><br/><small>superficial, trivial, not deep</small>
<b>Sharp</b><br/><small>pointed, keen, acute</small>
<b>Shiny</b><br/><small>reflective, gleaming, polished</small>
<b>Shocking</b><br/><small>frightening, electrifying, startling</small>
<b>Shy</b><br/><small>bashful, timid, cautious</small>
<b>Silly</b><br/><small>goofy, absurd, nonsensical</small>
<b>Smart</b><br/><small>intelligent, stylish, witty</small>
<b>Smelly</b><br/><small>stinky, odorous, rank</small>
<b>Smooth</b><br/><small>even, level, flat</small>
<b>Snappy</b><br/><small>stylish, trendy, fast</small>
<b>Soft</b><br/><small>malleable, pliable, mushy</small>
<b>Speedy</b><br/><small>quick, rapid, fast</small>
<b>Spicy</b><br/><small>flavorable, tangy, hot</small>
<b>Spiritual</b><br/><small>religious, inspired, supernatural</small>
<b>Spooky</b><br/><small>scary, weird, ghostly</small>
<b>Spunky</b><br/><small>perky, lively, spirited</small>
<b>Squeaky Clean</b><br/><small>pure, immaculate, unapproachable</small>
<b>Stereotyped</b><br/><small>pigeonholed, caricatured, characterized</small>
<b>Stunning</b><br/><small>astonishing, staggering, astounding</small>
<b>Sultry</b><br/><small>sweltering, humid, sensual</small>
<b>Sweet</b><br/><small>sugary, caring, good</small>
<b>Swift</b><br/><small>quick, speedy, expeditious</small>
<b>Talented</b><br/><small>gifted, clever, skillful</small>
<b>Tame</b><br/><small>subdued, gentle, trained</small>
<b>Technological</b><br/><small>scientific, futuristic, mechanical</small>
<b>Temperamental</b><br/><small>moody, irritable, short-tempered</small>
<b>Timeless</b><br/><small>classic, ageless, well-established</small>
<b>Touchy-Feely</b><br/><small>affectionate, tactile, huggy</small>
<b>Tough</b><br/><small>strong, firm, difficult</small>
<b>Trustworthy</b><br/><small>honest, reliable, unfailing</small>
<b>Twisted</b><br/><small>distorted, warped, perverted</small>
<b>Unbelievable</b><br/><small>incredible, far-fetched, impossible</small>
<b>Unforgettable</b><br/><small>notable, impressive, remarkable</small>
<b>Unhealthy</b><br/><small>risky, sickly, dangerous</small>
<b>Unnatural</b><br/><small>abnormal, artificial, bizarre</small>
<b>Unreal</b><br/><small>imaginary, illusionary, unbelievable</small>
<b>Unscrupulous</b><br/><small>unethical, corrupt, unprincipled</small>
<b>Unusual</b><br/><small>rare, odd, uncommon</small>
<b>Useless</b><br/><small>worthless, ineffective, unneeded</small>
<b>Violent</b><br/><small>furious, vicious, destructive</small>
<b>Virtuous</b><br/><small>worthy, righteous, chaste</small>
<b>Visionary</b><br/><small>idealistic, prophetic, far-seeing</small>
<b>Weird</b><br/><small>abnormal, peculiar, odd</small>
<b>Wicked</b><br/><small>evil, corrupt, depraved</small>
<b>Wild</b><br/><small>untamed, savage, ferocious</small>
<b>Witty</b><br/><small>clever, humorous, cunning</small>
<b>Woebegone</b><br/><small>dismal, sorrowful, bummed out</small>
<b>Worldly</b><br/><small>experienced, sophisticated, materialistic</small>
<b>Zany</b><br/><small>crazy, funny, wacky</small>
